Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
P3H2	"FLJ10718, LEPREL1, MLAT4"	ENSG00000090530	"Prolyl 3-hydroxylase 2"	Q8IVL5	3	189956728-190122437	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"Dioxygenase, Oxidoreductase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 68.5;Granulosa cells: 118.5;Microglial cells: 89.4;Prostatic glandular cells: 65.1;Theca cells: 65.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	22	"plasmacytoid DC: 28.9"	"Lineage enriched"	"Detected in single"	90	"dendritic cells: 28.9"	"Cancer enhanced"	"Detected in all"		"Kidney cancer: 118.0"	"Lung - Alveolar cells type 2, Prostate - Prostate glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA007890, HPA013355, HPA013611"	Approved		Supported	"Nucleoplasm,Golgi apparatus,Vesicles,Cytosol"	"Intracellular and membrane"	NA	NA			"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 64: Macrophages - Immune response"	"Cluster 68: Kidney - Mixed function"	"Cluster 17: Granulosa cells - Transcription regulation"	"Golgi apparatus"	"Nucleoplasm, Vesicles, Cytosol"	"HPA007890: AB_1852796, HPA013355: AB_1852798, HPA013611: "	"unprognostic (4.90e-2)"	"unprognostic (1.57e-1)"	"unprognostic (3.76e-1)"	"unprognostic (4.32e-3)"	"unprognostic (1.97e-2)"	"unprognostic (7.75e-2)"	"unprognostic (9.68e-2)"	"unprognostic (2.17e-1)"	"unprognostic (3.15e-1)"	"unprognostic (1.19e-1)"	"unprognostic (1.03e-3)"	"unprognostic (1.60e-1)"	"unprognostic (1.15e-2)"	"unprognostic (1.80e-2)"	"unprognostic (1.48e-1)"	"unprognostic (1.10e-1)"	"unprognostic (4.01e-2)"
P4HA2	C-P4Halpha(II)	ENSG00000072682	"Prolyl 4-hydroxylase subunit alpha 2"	O15460	5	132190147-132295315	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		"Dioxygenase, Oxidoreductase"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 129.7;Basal respiratory cells: 105.0;Endometrial stromal cells: 104.1;Pancreatic endocrine cells: 108.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipose progenitor cells, Kidney - Proximal tubular cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"HPA016997, HPA027824, CAB062557"	Enhanced		Enhanced	"Endoplasmic reticulum,Vesicles"	"Intracellular and membrane"	No	No		13000	"Cluster 1: Neutrophils - Mixed function"	"Cluster 7: Kidney - Transmembrane transport"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 53: Connective tissue cells - ECM organization"	"Endoplasmic reticulum, Vesicles"		"CAB062557: AB_2665641, HPA016997: AB_2669501, HPA027824: AB_2672402"	"unprognostic (1.30e-3)"	"prognostic unfavorable (1.24e-5)"	"unprognostic (2.56e-3)"	"unprognostic (1.28e-3)"	"unprognostic (2.08e-3)"	"unprognostic (1.62e-3)"	"unprognostic (1.16e-3)"	"unprognostic (1.93e-3)"	"unprognostic (2.83e-2)"	"unprognostic (1.92e-1)"	"unprognostic (8.98e-2)"	"unprognostic (1.91e-1)"	"prognostic unfavorable (2.77e-7)"	"unprognostic (2.50e-2)"	"unprognostic (1.61e-1)"	"unprognostic (2.23e-1)"	"prognostic unfavorable (3.12e-4)"
P4HB	"DSI, ERBA2L, GIT, P4Hbeta, PDI, PDIA1, PO4DB, PO4HB, PROHB"	ENSG00000185624	"Prolyl 4-hydroxylase subunit beta"	P07237	17	81843159-81860856	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		"Chaperone, Isomerase"	"Craniosynostosis, Disease variant, Osteogenesis imperfecta"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 1856.8;pancreas: 2446.9"	"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 1521.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Stomach - Chief cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB012463, HPA018884"	Enhanced		Supported	"Endoplasmic reticulum"	"Intracellular and membrane"	No	No		110000000	"Cluster 47: Plasmacytoid DCs - Protein folding"	"Cluster 29: Non-specific - Vesicular transport"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 40: Plasma cells - Humoral immune response"	"Endoplasmic reticulum"		"CAB012463: , HPA018884: AB_1854896"	"unprognostic (9.47e-3)"	"unprognostic (1.09e-2)"	"unprognostic (2.99e-2)"	"unprognostic (7.14e-3)"	"unprognostic (7.75e-3)"	"unprognostic (1.05e-2)"	"unprognostic (1.30e-1)"	"unprognostic (5.26e-2)"	"unprognostic (1.22e-1)"	"unprognostic (4.73e-3)"	"unprognostic (1.43e-1)"	"unprognostic (3.93e-2)"	"prognostic unfavorable (2.30e-11)"	"unprognostic (1.18e-1)"	"unprognostic (1.04e-2)"	"unprognostic (4.99e-3)"	"unprognostic (3.19e-3)"
P4HTM	"EGLN4, FLJ20262, HIFPH4, P4H-TM, PH-4, PH4, PHD4"	ENSG00000178467	"Prolyl 4-hydroxylase, transmembrane"	Q9NXG6	3	48989889-49007153	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		"Dioxygenase, Oxidoreductase"	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 161.3;Respiratory ciliated cells: 201.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipose progenitor cells, Lung - Respiratory ciliated cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA007199	Supported		Uncertain	Vesicles,Cytosol		NA	NA			"Cluster 26: Non-specific - Mitochondria"	"Cluster 26: Pituitary gland - Hormone signaling"	"Cluster 63: Non-specific - Unknown function"	"Cluster 56: Ciliated cells - Cilium assembly"	"Vesicles, Cytosol"		"HPA007199: AB_1855272"	"unprognostic (1.95e-2)"	"unprognostic (3.12e-2)"	"unprognostic (9.47e-2)"	"prognostic favorable (8.18e-4)"	"unprognostic (7.78e-2)"	"unprognostic (1.05e-1)"	"unprognostic (6.47e-2)"	"unprognostic (2.02e-2)"	"unprognostic (1.89e-2)"	"unprognostic (3.78e-2)"	"unprognostic (2.51e-3)"	"unprognostic (1.54e-2)"	"prognostic favorable (3.28e-5)"	"unprognostic (1.10e-2)"	"unprognostic (3.51e-1)"	"unprognostic (2.60e-2)"	"unprognostic (9.65e-3)"
PACS2	"KIAA0602, PACS1L"	ENSG00000179364	"Phosphofurin acidic cluster sorting protein 2"	Q86VP3	14	105300563-105398147	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Apoptosis, Host-virus interaction"		"Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 136.6;skeletal muscle: 98.5"	"Cell type enhanced"	"Detected in many"		"Late spermatids: 100.0;Oligodendrocytes: 159.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA077892			Approved	Mitochondria		NA	NA			"Cluster 47: Plasmacytoid DCs - Protein folding"	"Cluster 70: Brain - Nervous system development"	"Cluster 46: Non-specific - Unknown function"	"Cluster 8: Oligodendrocytes - Myelin sheath organization"	Mitochondria		"HPA077892: AB_2686865"	"unprognostic (4.31e-2)"	"unprognostic (2.61e-1)"	"unprognostic (4.53e-2)"	"unprognostic (1.24e-1)"	"unprognostic (3.09e-2)"	"unprognostic (4.08e-2)"	"prognostic unfavorable (3.11e-5)"	"unprognostic (1.18e-2)"	"unprognostic (1.37e-1)"	"unprognostic (1.90e-1)"	"prognostic favorable (2.95e-4)"	"unprognostic (1.49e-1)"	"prognostic favorable (1.56e-4)"	"unprognostic (2.08e-1)"	"unprognostic (3.80e-1)"	"unprognostic (2.58e-1)"	"unprognostic (1.30e-1)"
PADI3	PDI3	ENSG00000142619	"Peptidyl arginine deiminase 3"	Q9ULW8	1	17249098-17284233	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		Hydrolase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"esophagus: 17.0;urinary bladder: 25.6"	"Cell type enhanced"	"Detected in some"		"Basal prostatic cells: 6.6;Club cells: 6.1;Collecting duct cells: 2.0;Ionocytes: 1.1;Pancreatic endocrine cells: 1.7"	"Cancer enriched"	"Detected in many"	4	"urothelial cancer: 48.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"head and neck cancer: 20.6;Kidney cancer: 21.2"	"Prostate - Urothelial cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA043739			Supported	Nucleoplasm,Vesicles,Cytosol		NA	NA				"Cluster 84: Esophagus - Epithelial cell function"	"Cluster 60: Keratinocytes - Epithelial cell function"	"Cluster 70: Basal prostatic cells - Lipid metabolism"	"Vesicles, Cytosol"	Nucleoplasm	"HPA043739: AB_10959466"	"unprognostic (4.47e-2)"	"unprognostic (9.32e-2)"	"unprognostic (1.50e-1)"	"prognostic unfavorable (3.22e-4)"	"unprognostic (1.05e-3)"	"unprognostic (6.66e-2)"	"unprognostic (3.10e-3)"	"unprognostic (5.88e-2)"	"unprognostic (2.06e-4)"	"unprognostic (1.03e-1)"	"unprognostic (3.47e-4)"	"unprognostic (1.76e-1)"	"prognostic unfavorable (1.55e-11)"	"unprognostic (2.40e-2)"	"unprognostic (4.73e-3)"		"unprognostic (2.64e-2)"
PADI4	"PAD, PADI5, PDI4, PDI5"	ENSG00000159339	"Peptidyl arginine deiminase 4"	Q9UM07	1	17308195-17364004	"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Immunity, Innate immunity, Transcription, Transcription regulation"	"Chromatin regulator, Hydrolase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"bone marrow: 105.1;lymphoid tissue: 29.9"	"Cell type enhanced"	"Detected in some"		"dendritic cells: 14.8;granulocytes: 5.6;Hofbauer cells: 8.0;Kupffer cells: 5.3;Macrophages: 8.8;monocytes: 16.0;NK-cells: 8.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	8	"basophil: 79.9;classical monocyte: 71.3;eosinophil: 97.5;neutrophil: 183.0"	"Group enriched"	"Detected in all"	9	"granulocytes: 183.0;monocytes: 71.3"	"Cancer enriched"	"Detected in single"	11	"Leukemia: 3.3"	"Adipose visceral - Neutrophils, Heart muscle - Neutrophils, Liver - Neutrophils, Lung - Neutrophil_2, Skeletal muscle - Neutrophils, Skin - Sebaceous gland cells, Stomach - Neutrophils, Thyroid - Neutrophils"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA017007, HPA042825"	Enhanced					NA	NA		29000	"Cluster 5: Granulocytes - Unknown function"	"Cluster 67: Neutrophils - Humoral immune response"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 33: Macrophages - Degranulation"			"HPA017007: AB_1854921, HPA042825: AB_2678189"	"unprognostic (1.70e-1)"	"unprognostic (2.25e-1)"	"unprognostic (2.23e-1)"	"unprognostic (2.98e-1)"	"unprognostic (1.27e-1)"	"unprognostic (1.13e-2)"	"unprognostic (1.47e-1)"	"unprognostic (4.91e-2)"	"unprognostic (8.49e-2)"	"unprognostic (5.22e-2)"	"unprognostic (8.55e-2)"	"unprognostic (1.81e-1)"	"unprognostic (1.66e-3)"	"unprognostic (1.50e-1)"	"unprognostic (1.28e-1)"	"unprognostic (1.56e-2)"	"unprognostic (1.80e-1)"
PADI6		ENSG00000276747	"Peptidyl arginine deiminase 6"	Q6TGC4	1	17372196-17401699	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		Hydrolase	"Disease variant"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Region enhanced"	"Detected in single"		"white matter: 2.4"	"Not detected"	"Not detected"									NA	NA			"Cluster 28: Myeloid DCs - Unknown function"		"Cluster 12: Lymphoid cancers - Adaptive immune response"	"Cluster 7: NK-cells - Immune response regulation"				"unprognostic (1.19e-1)"					"unprognostic (4.36e-2)"			"unprognostic (3.02e-2)"				"unprognostic (6.56e-2)"		"unprognostic (1.23e-1)"		
PAK1		ENSG00000149269	"P21 (RAC1) activated kinase 1"	Q13153	11	77322017-77474635	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Apoptosis, Exocytosis"	"Allosteric enzyme, Kinase, Serine/threonine-protein kinase, Transferase"	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 216.3;Langerhans cells: 184.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in all"	9	"classical monocyte: 182.2;eosinophil: 292.7;intermediate monocyte: 177.7;myeloid DC: 264.3;neutrophil: 431.8;non-classical monocyte: 202.6"	"Group enriched"	"Detected in all"	11	"dendritic cells: 264.3;granulocytes: 431.8;monocytes: 202.6"	"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003565, CAB005312"	Enhanced	Supported	Supported	"Plasma membrane,Cytosol"		NA	NA		560000	"Cluster 28: Myeloid DCs - Unknown function"	"Cluster 10: Brain - Neuronal signaling"	"Cluster 9: Lymphoid cancers - Immune response"	"Cluster 75: Myeloid cells - Innate immune response"	"Plasma membrane, Cytosol"		"CAB005312: AB_2160720, HPA003565: AB_1854935"	"unprognostic (1.15e-2)"	"unprognostic (3.23e-2)"	"prognostic favorable (5.87e-4)"	"unprognostic (1.30e-1)"	"prognostic unfavorable (1.15e-4)"	"unprognostic (6.62e-2)"	"unprognostic (8.19e-3)"	"unprognostic (4.84e-2)"	"unprognostic (1.05e-1)"	"unprognostic (1.22e-3)"	"unprognostic (1.86e-2)"	"unprognostic (2.76e-1)"	"unprognostic (1.02e-1)"	"unprognostic (6.91e-2)"	"unprognostic (1.57e-1)"	"unprognostic (4.00e-3)"	"unprognostic (1.52e-2)"
PAK3	"bPAK, hPAK3, MRX30, MRX47"	ENSG00000077264	"P21 (RAC1) activated kinase 3"	O75914	X	110944285-111227361	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"		"Allosteric enzyme, Developmental protein, Kinase, Serine/threonine-protein kinase, Transferase"	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"brain: 31.9;pancreas: 42.7;pituitary gland: 13.7"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 92.9;Excitatory neurons: 358.7;Inhibitory neurons: 315.5;Oligodendrocyte precursor cells: 158.8;Peritubular cells: 81.6"	"Cancer enhanced"	"Detected in some"		"pancreatic cancer: 1.7"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	5	"MAIT T-cell: 1.0"	"Lineage enriched"	"Detected in single"	5	"T-cells: 1.0"	"Low cancer specificity"	"Detected in many"			"Skeletal muscle - Fibroblasts, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA044791, HPA060219"	Approved		Approved	Vesicles		NA	NA			"Cluster 16: MAIT-cells - Unknown function"	"Cluster 22: Non-specific - Unknown function"	"Cluster 41: Non-specific - Cilium assembly"	"Cluster 37: Neurons - Neuronal signaling"	Vesicles		"HPA044791: , HPA060219: AB_2684223"	"unprognostic (1.80e-2)"	"unprognostic (1.54e-1)"	"unprognostic (1.80e-2)"	"unprognostic (3.27e-4)"	"unprognostic (2.46e-1)"	"unprognostic (5.63e-3)"	"unprognostic (7.29e-2)"	"unprognostic (3.23e-2)"	"unprognostic (1.27e-2)"	"unprognostic (3.01e-1)"	"unprognostic (6.80e-3)"	"unprognostic (1.66e-1)"	"unprognostic (1.89e-4)"	"unprognostic (5.71e-3)"	"unprognostic (6.81e-2)"	"unprognostic (1.06e-1)"	"unprognostic (3.30e-2)"
PANK2	"C20orf48, FLJ11729, HARP, HSS, NBIA1, PKAN"	ENSG00000125779	"Pantothenate kinase 2"	Q9BZ23	20	3888839-3929887	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Angiogenesis, Coenzyme A biosynthesis"	"Kinase, Transferase"	"Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA008440	Approved		Supported	Cytosol		NA	NA			"Cluster 7: Monocytes - Unknown function"	"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 65: Fibroblasts - ECM organization"	Cytosol		"HPA008440: AB_1079559"	"unprognostic (4.50e-2)"	"unprognostic (7.96e-3)"	"unprognostic (2.26e-1)"	"unprognostic (1.39e-2)"	"unprognostic (1.68e-1)"	"unprognostic (6.00e-2)"	"prognostic unfavorable (1.20e-5)"	"unprognostic (2.75e-1)"	"unprognostic (3.39e-1)"	"unprognostic (2.52e-1)"	"unprognostic (3.02e-2)"	"unprognostic (1.65e-1)"	"unprognostic (6.01e-3)"	"unprognostic (1.73e-2)"	"unprognostic (2.18e-3)"	"unprognostic (2.63e-1)"	"unprognostic (1.81e-1)"
PANX1	"MRS1, PX1, UNQ2529"	ENSG00000110218	"Pannexin 1"	Q96RD7	11	94128841-94181968	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Calcium transport, Differentiation, Ion transport, Oogenesis, Transport"	"Calcium channel, Ion channel"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 67.7;Extravillous trophoblasts: 36.4;Suprabasal keratinocytes: 39.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA016930	Uncertain		Enhanced	"Plasma membrane"		NA	NA			"Cluster 44: Non-specific - Transcription"	"Cluster 55: Non-specific - Mitochondria & Proteasome"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Plasma membrane"		"HPA016930: AB_1854954"	"unprognostic (1.65e-2)"	"unprognostic (2.32e-2)"	"unprognostic (2.41e-1)"	"prognostic unfavorable (1.13e-4)"	"unprognostic (1.16e-1)"	"unprognostic (7.02e-2)"	"unprognostic (6.04e-2)"	"prognostic unfavorable (7.09e-5)"	"unprognostic (1.79e-1)"	"unprognostic (1.43e-1)"	"unprognostic (1.00e-3)"	"unprognostic (3.26e-1)"	"prognostic unfavorable (1.49e-7)"	"unprognostic (1.15e-2)"	"unprognostic (9.45e-2)"	"unprognostic (1.79e-1)"	"unprognostic (1.26e-3)"
PAPSS2	ATPSK2	ENSG00000198682	"3'-phosphoadenosine 5'-phosphosulfate synthase 2"	O95340	10	87659613-87747705	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"		"Kinase, Multifunctional enzyme, Nucleotidyltransferase, Transferase"	"Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adrenal gland: 135.2"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 321.4;Distal enterocytes: 166.2;monocytes: 243.3;Proximal enterocytes: 169.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"intermediate monocyte: 4.0;myeloid DC: 2.1;non-classical monocyte: 7.7"	"Group enriched"	"Detected in many"	7	"dendritic cells: 2.1;monocytes: 7.7"	"Low cancer specificity"	"Detected in many"			"Breast - Adipocytes (Breast), Heart muscle - Endothelial cells, Liver - Hepatocytes, Prostate - Fibroblasts, Testis - Leydig cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA071224, HPA075267"	Enhanced		Approved	Mitochondria		No	No		16000	"Cluster 7: Monocytes - Unknown function"	"Cluster 86: Liver & Placenta - Transport via ER"	"Cluster 20: Connective tissue cells - ECM organization"	"Cluster 75: Myeloid cells - Innate immune response"	Mitochondria		"HPA071224: AB_2686366, HPA075267: "	"unprognostic (3.98e-3)"	"unprognostic (7.06e-2)"	"unprognostic (4.95e-3)"	"unprognostic (1.02e-1)"	"unprognostic (2.67e-1)"	"unprognostic (1.61e-2)"	"unprognostic (4.96e-2)"	"unprognostic (1.15e-1)"	"prognostic unfavorable (1.33e-6)"	"unprognostic (3.50e-2)"	"prognostic favorable (6.58e-4)"	"unprognostic (1.14e-1)"	"unprognostic (4.90e-2)"	"unprognostic (6.72e-3)"	"unprognostic (1.73e-1)"	"prognostic unfavorable (3.21e-5)"	"unprognostic (3.46e-3)"
PARK7	"DJ-1, DJ1, GATD2"	ENSG00000116288	"Parkinsonism associated deglycase"	Q99497	1	7954291-7985505	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Autophagy, DNA damage, DNA repair, Fertilization, Inflammatory response, Stress response"	"Chaperone, Hydrolase, Protease, RNA-binding"	"Disease variant, Neurodegeneration, Parkinson disease, Parkinsonism, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA004190, CAB005870"	Supported		Supported	Nucleoplasm,Cytosol		NA	NA		35000000	"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 38: Non-specific - mRNA processing"	"Cluster 16: Non-specific - RNA binding"	"Nucleoplasm, Cytosol"		"CAB005870: AB_444361, HPA004190: AB_1079566"	"unprognostic (6.88e-3)"	"unprognostic (7.50e-2)"	"unprognostic (3.48e-2)"	"unprognostic (1.16e-2)"	"unprognostic (4.08e-2)"	"unprognostic (5.68e-2)"	"unprognostic (7.45e-2)"	"unprognostic (9.63e-2)"	"unprognostic (2.01e-1)"	"unprognostic (1.66e-2)"	"unprognostic (1.12e-1)"	"unprognostic (2.02e-1)"	"unprognostic (1.96e-3)"	"unprognostic (8.17e-2)"	"unprognostic (1.32e-1)"	"unprognostic (1.30e-1)"	"unprognostic (7.43e-2)"
