Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
GNA13	"G13, MGC46138"	ENSG00000120063	"G protein subunit alpha 13"	Q14344	17	65009289-65056740	"Cancer-related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		Transducer	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 144.5"	"Cell type enhanced"	"Detected in all"		"dendritic cells: 191.8;Langerhans cells: 704.3;Schwann cells: 257.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA010087	Approved		Supported	Cytosol		NA	NA		320000	"Cluster 7: Monocytes - Unknown function"	"Cluster 40: Neutrophils - Inflammatory response"	"Cluster 64: Lymphoma - Humoral immune response"	"Cluster 75: Myeloid cells - Innate immune response"	Cytosol		"HPA010087: AB_10601478"	"unprognostic (2.55e-1)"	"unprognostic (2.27e-1)"	"unprognostic (1.33e-3)"	"unprognostic (1.23e-3)"	"unprognostic (8.21e-2)"	"unprognostic (7.05e-2)"	"unprognostic (4.22e-3)"	"unprognostic (1.09e-1)"	"unprognostic (7.77e-2)"	"unprognostic (4.66e-1)"	"unprognostic (1.16e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.21e-1)"	"unprognostic (1.44e-1)"	"unprognostic (1.59e-1)"
GNAI1		ENSG00000127955	"G protein subunit alpha i1"	P63096	7	79768028-80226181	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, Host-virus interaction, Mitosis, Transport"	Transducer	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Melanocytes: 148.0;Oligodendrocytes: 387.8;Syncytiotrophoblasts: 190.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	6	"NK-cell: 12.8"	"Lineage enriched"	"Detected in many"	6	"NK-cells: 12.8"	"Low cancer specificity"	"Detected in many"			"Lung - Fibroblast_1, Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB022449, HPA042141"	Approved		Supported	Nucleoplasm,Nucleoli,Centrosome		NA	NA		1600000	"Cluster 48: NK-cells - Unknown function"	"Cluster 31: Skin - Epidermis development"	"Cluster 26: NCI-H716 - Unknown function"	"Cluster 22: Squamous epithelial cells - Keratinization"	Centrosome	"Nucleoplasm, Nucleoli"	"CAB022449: , HPA042141: AB_2677870"	"unprognostic (2.29e-1)"	"unprognostic (2.83e-2)"	"unprognostic (2.64e-2)"	"unprognostic (1.54e-1)"	"unprognostic (7.05e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.92e-2)"	"unprognostic (2.08e-2)"	"prognostic unfavorable (5.09e-4)"	"unprognostic (9.78e-2)"	"unprognostic (1.26e-1)"	"unprognostic (4.48e-1)"	"unprognostic (9.41e-3)"	"prognostic unfavorable (6.47e-4)"	"unprognostic (1.12e-1)"	"unprognostic (1.94e-2)"	"unprognostic (1.53e-1)"
GNAQ	"G-ALPHA-q, GAQ"	ENSG00000156052	"G protein subunit alpha q"	P50148	9	77716097-78031811	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"		Transducer	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Astrocytes: 539.3;Excitatory neurons: 399.8;Microglial cells: 384.0;Oligodendrocytes: 467.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 27.0"	"Lineage enriched"	"Detected in many"	6	"granulocytes: 27.0"	"Low cancer specificity"	"Detected in all"			"Skin - Endothelial cells"					"Low region specificity"	"Detected in all"			"CAB010036, HPA048886"	Uncertain		Approved	"Nuclear speckles,Plasma membrane,Cytosol"		NA	NA		800000	"Cluster 38: Basophils - Unknown function"	"Cluster 65: Brain - Ion transport"	"Cluster 34: Rabdoid cancer - Embryonic development"	"Cluster 10: Neurons & Oligodendrocytes - Nervous system development"	"Nuclear speckles"	"Plasma membrane, Cytosol"	"CAB010036: AB_631536, HPA048886: AB_2680544"	"unprognostic (2.10e-1)"	"unprognostic (8.53e-2)"	"unprognostic (1.45e-1)"	"unprognostic (4.37e-2)"	"unprognostic (1.87e-1)"	"unprognostic (6.83e-3)"	"unprognostic (1.05e-1)"	"unprognostic (3.84e-2)"	"unprognostic (2.46e-1)"	"unprognostic (2.16e-1)"	"unprognostic (1.85e-1)"	"unprognostic (1.44e-1)"	"prognostic favorable (1.11e-7)"	"unprognostic (1.90e-1)"	"unprognostic (3.13e-1)"	"unprognostic (1.05e-1)"	"unprognostic (2.01e-1)"
GNAS	"GNAS1, GNASXL, GPSA, NESP, NESP55, SCG6, SgVI"	ENSG00000087460	"GNAS complex locus"	"O95467, P63092, P84996, Q5JWF2"	20	58839718-58911192	"Cancer-related genes, Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		Transducer	"Cancer-related genes, Cushing syndrome, Disease variant, Dwarfism, Obesity, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB010337, HPA018122, HPA027478, HPA028386"	Uncertain		Approved	"Nucleoplasm,Plasma membrane,Cytosol"	"Intracellular and membrane"	NA	NA			"Cluster 41: Basophils - Cellular respiration"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 12: Non-specific - Chromatin organization"	Nucleoplasm	"Plasma membrane, Cytosol"	"CAB010337: AB_631538, HPA018122: AB_1849236, HPA027478: AB_10599284, HPA028386: AB_10601983"	"unprognostic (7.48e-2)"	"unprognostic (1.41e-1)"	"unprognostic (3.90e-2)"	"unprognostic (4.77e-2)"	"unprognostic (8.37e-3)"	"unprognostic (2.82e-2)"	"unprognostic (4.53e-3)"	"unprognostic (8.01e-2)"	"unprognostic (4.29e-2)"	"prognostic favorable (8.76e-4)"	"unprognostic (2.07e-2)"	"unprognostic (1.58e-1)"	"prognostic unfavorable (3.49e-4)"	"unprognostic (5.24e-3)"	"unprognostic (1.61e-1)"	"unprognostic (8.25e-2)"	"unprognostic (1.36e-1)"
GNB1		ENSG00000078369	"G protein subunit beta 1"	P62873	1	1785285-1891117	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins, Transporters"	"Host-virus interaction"	Transducer	"Cancer-related genes, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	11	"retina: 2629.0"	"Cell type enriched"	"Detected in all"	5	"Rod photoreceptor cells: 1248.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA040736	Supported		Approved	"Golgi apparatus,Plasma membrane"		NA	NA		1900000	"Cluster 31: Non-specific - Inflammatory response"	"Cluster 79: Retina - Phototransduction"	"Cluster 38: Non-specific - mRNA processing"	"Cluster 44: Photoreceptor cells - Visual perception"	"Plasma membrane"	"Golgi apparatus"	"HPA040736: AB_2677106"	"unprognostic (9.49e-2)"	"unprognostic (4.91e-3)"	"unprognostic (1.24e-1)"	"unprognostic (1.56e-1)"	"unprognostic (3.34e-1)"	"unprognostic (9.07e-3)"	"prognostic unfavorable (3.61e-6)"	"unprognostic (1.99e-2)"	"unprognostic (3.60e-1)"	"unprognostic (7.27e-2)"	"unprognostic (8.47e-3)"	"unprognostic (1.95e-1)"	"unprognostic (9.76e-2)"	"unprognostic (1.08e-1)"	"unprognostic (4.62e-2)"	"unprognostic (1.14e-1)"	"unprognostic (7.90e-2)"
GNPTAB	"GNPTA, KIAA1208, MGC4170"	ENSG00000111670	"N-acetylglucosamine-1-phosphate transferase subunits alpha and beta"	Q3T906	12	101745499-101830959	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"		Transferase	"Cancer-related genes, Disease variant, Mucolipidosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"granulocytes: 176.3;NK-cells: 206.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA014558, HPA042343"	Approved		Supported	"Golgi apparatus"		NA	NA		160000	"Cluster 36: GdT-cells - Adaptive immune response"	"Cluster 53: Non-specific - Cell cycle regulation"	"Cluster 16: Skin cancer - Melanocyte processes"	"Cluster 7: NK-cells - Immune response regulation"	"Golgi apparatus"		"HPA014558: AB_2732409, HPA042343: "	"unprognostic (6.72e-2)"	"unprognostic (1.66e-1)"	"unprognostic (8.71e-3)"	"prognostic favorable (8.48e-4)"	"unprognostic (1.39e-1)"	"unprognostic (8.37e-2)"	"unprognostic (2.73e-1)"	"unprognostic (8.57e-2)"	"unprognostic (3.73e-2)"	"unprognostic (1.09e-2)"	"unprognostic (2.28e-2)"	"unprognostic (2.00e-1)"	"unprognostic (6.86e-2)"	"unprognostic (3.44e-1)"	"unprognostic (1.02e-1)"	"unprognostic (5.44e-2)"	"unprognostic (4.98e-2)"
GOLGA5	"golgin-84, GOLIM5, ret-II, rfg5"	ENSG00000066455	"Golgin A5"	Q8TBA6	14	92794305-92839947	"Cancer-related genes, Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA000992, HPA063876"	Enhanced	Supported	Supported	"Golgi apparatus"		NA	NA			"Cluster 49: Eosinophils - Unknown function"	"Cluster 29: Non-specific - Vesicular transport"	"Cluster 46: Non-specific - Unknown function"	"Cluster 40: Plasma cells - Humoral immune response"	"Golgi apparatus"		"HPA000992: AB_1079009, HPA063876: AB_2685140"	"unprognostic (2.06e-1)"	"unprognostic (1.76e-1)"	"unprognostic (1.57e-1)"	"unprognostic (2.64e-1)"	"unprognostic (1.73e-1)"	"unprognostic (2.77e-2)"	"unprognostic (1.68e-1)"	"unprognostic (3.15e-1)"	"unprognostic (1.78e-1)"	"unprognostic (5.02e-2)"	"unprognostic (1.15e-2)"	"unprognostic (2.83e-2)"	"unprognostic (7.67e-2)"	"unprognostic (6.44e-2)"	"unprognostic (1.76e-1)"	"unprognostic (1.06e-2)"	"unprognostic (2.49e-2)"
GOPC	"CAL, dJ94G16.2, FIG, GOPC1, PIST"	ENSG00000047932	"Golgi associated PDZ and coiled-coil motif containing"	Q9HD26	6	117560269-117602542	"Cancer-related genes, Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"					"Low region specificity"	"Detected in all"			"HPA019477, HPA024018"	Approved		Enhanced	"Golgi apparatus"		NA	NA			"Cluster 6: Non-specific - Transcription"	"Cluster 89: Fibroblasts - ECM organization"	"Cluster 15: Non-specific - Protein binding"	"Cluster 52: Endometrial stromal cells - ECM organization"	"Golgi apparatus"		"HPA019477: AB_1849890, HPA024018: AB_1849891"	"unprognostic (2.48e-2)"	"unprognostic (1.63e-3)"	"unprognostic (1.71e-1)"	"unprognostic (5.56e-2)"	"unprognostic (1.84e-2)"	"unprognostic (3.17e-2)"	"unprognostic (3.12e-2)"	"unprognostic (9.21e-2)"	"unprognostic (6.22e-2)"	"unprognostic (6.77e-2)"	"unprognostic (8.23e-2)"	"unprognostic (9.46e-2)"	"unprognostic (1.40e-2)"	"unprognostic (2.67e-2)"	"unprognostic (1.38e-1)"	"unprognostic (9.55e-2)"	"unprognostic (3.01e-2)"
GOT1	AST1	ENSG00000120053	"Glutamic-oxaloacetic transaminase 1"	P17174	10	99396870-99430624	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Amino-acid biosynthesis"	"Aminotransferase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"heart muscle: 511.1;liver: 369.5;skeletal muscle: 489.9;tongue: 1011.6"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 561.6;Early spermatids: 205.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Skin - Eccrine sweat gland cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA064532, HPA072629"	Enhanced					NA	Yes		100000000	"Cluster 3: Plasmacytoid DCs - Unknown function"	"Cluster 39: Non-specific - Mitochondria"	"Cluster 37: Ovarian cancer RMG-I - Cellular stress response"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA064532: AB_2685279, HPA072629: AB_2686540"	"unprognostic (6.40e-2)"	"prognostic favorable (6.23e-4)"	"unprognostic (5.99e-2)"	"unprognostic (2.84e-2)"	"unprognostic (2.82e-1)"	"unprognostic (2.96e-2)"	"unprognostic (5.25e-2)"	"unprognostic (1.08e-3)"	"unprognostic (6.67e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.79e-2)"	"unprognostic (1.79e-1)"	"prognostic favorable (3.72e-13)"	"unprognostic (1.93e-2)"	"unprognostic (4.23e-1)"	"unprognostic (6.85e-2)"	"unprognostic (1.00e-1)"
GOT2	"KAT4, KATIV, KYAT4, mitAAT"	ENSG00000125166	"Glutamic-oxaloacetic transaminase 2"	P00505	16	58707131-58734342	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Lipid transport, Transport"	"Aminotransferase, Transferase"	"Cancer-related genes, Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 698.4;tongue: 726.8"	"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 385.1;Hepatocytes: 169.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells, Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes, Testis - Sertoli cells, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA018139, HPA058537"	Enhanced				"Intracellular and membrane"	NA	NA		2800000	"Cluster 13: T-cells - Unknown function"	"Cluster 55: Non-specific - Mitochondria & Proteasome"	"Cluster 36: Non-specific - Unknown function"	"Cluster 77: Cardiomyocytes - Muscle contraction"			"HPA018139: AB_1849903, HPA058537: "	"unprognostic (1.50e-2)"	"unprognostic (4.79e-2)"	"unprognostic (2.73e-3)"	"unprognostic (2.63e-3)"	"unprognostic (3.02e-2)"	"prognostic unfavorable (1.61e-4)"	"prognostic favorable (5.75e-5)"	"unprognostic (1.12e-2)"	"unprognostic (3.19e-1)"	"unprognostic (3.72e-2)"	"unprognostic (2.27e-1)"	"unprognostic (3.00e-1)"	"prognostic favorable (2.90e-9)"	"unprognostic (1.16e-1)"	"unprognostic (1.48e-1)"	"unprognostic (5.56e-2)"	"unprognostic (2.22e-1)"
GPA33	A33	ENSG00000143167	"Glycoprotein A33"	Q99795	1	167052836-167166479	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	12	"intestine: 215.9"	"Cell type enhanced"	"Detected in some"		"Distal enterocytes: 508.9;Intestinal goblet cells: 232.0;Paneth cells: 368.6;Proximal enterocytes: 223.8;Undifferentiated cells: 85.6"	"Cancer enriched"	"Detected in many"	6	"colorectal cancer: 84.0"	"Not detected"	"Not detected"			"Immune cell enhanced"	"Detected in many"		"naive CD4 T-cell: 24.2;T-reg: 19.5"	"Lineage enriched"	"Detected in many"	6	"T-cells: 24.2"	"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 33.2;colorectal cancer: 96.0"	"Colon - Colon enterocytes, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA018858, CAB025943"	Enhanced					NA	NA			"Cluster 20: T-cells - T-cell receptor"	"Cluster 9: Intestine - Unknown function"	"Cluster 19: Stomach & Colon cancer - Absorption"	"Cluster 50: Enterocytes - Absorption"			"CAB025943: , HPA018858: AB_1849909"	"unprognostic (2.41e-2)"	"unprognostic (1.71e-3)"	"unprognostic (1.08e-2)"	"unprognostic (1.16e-1)"	"unprognostic (2.06e-1)"	"unprognostic (8.39e-4)"	"unprognostic (1.55e-1)"	"unprognostic (8.34e-2)"	"unprognostic (1.00e-2)"	"unprognostic (9.63e-2)"	"unprognostic (2.10e-2)"	"unprognostic (9.44e-2)"	"unprognostic (6.75e-2)"	"unprognostic (5.22e-3)"	"unprognostic (3.13e-1)"	"unprognostic (9.68e-3)"	"unprognostic (2.96e-3)"
GPC3	"DGSX, OCI-5, SDYS, SGB, SGBS, SGBS1"	ENSG00000147257	"Glypican 3"	P51654	X	133535745-133985594	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"		"Protease inhibitor"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"placenta: 574.9"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 55.1;Extravillous trophoblasts: 70.5;Fibroblasts: 243.6;Muller glia cells: 71.1;Smooth muscle cells: 96.8;Syncytiotrophoblasts: 119.0"	"Cancer enriched"	"Detected in all"	4	"liver cancer: 269.0"	"Low region specificity"	"Detected in many"			"Immune cell enhanced"	"Detected in some"		"naive CD4 T-cell: 1.8;naive CD8 T-cell: 1.2"	"Lineage enhanced"	"Detected in single"		"T-cells: 1.8"	"Group enriched"	"Detected in many"	5	"Gastric cancer: 93.1;liver cancer: 297.4;Rhabdoid: 106.3;testis cancer: 233.8"	"Heart muscle - Fibroblasts, Kidney - Fibroblasts, Lung - Fibroblast_1, Pancreas - Fibroblasts, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA006316			Supported	"Plasma membrane"		NA	NA		27000	"Cluster 32: T-cells - Unknown function"	"Cluster 28: Placenta - Pregnancy"	"Cluster 35: Liver cancer - Metabolism"	"Cluster 53: Connective tissue cells - ECM organization"	"Plasma membrane"		"HPA006316: AB_1078994"	"unprognostic (2.06e-1)"	"unprognostic (2.36e-1)"	"unprognostic (9.51e-2)"	"unprognostic (4.17e-2)"	"unprognostic (1.78e-1)"	"unprognostic (1.46e-1)"	"unprognostic (6.10e-2)"	"unprognostic (1.17e-2)"	"unprognostic (2.07e-2)"	"unprognostic (3.92e-3)"	"unprognostic (6.06e-2)"	"unprognostic (1.71e-1)"	"unprognostic (3.81e-3)"	"prognostic unfavorable (4.83e-4)"	"unprognostic (1.43e-1)"	"unprognostic (2.21e-1)"	"unprognostic (1.60e-1)"
GPHN	KIAA1385	ENSG00000171723	Gephyrin	Q9NQX3	14	66507407-67181803	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"Molybdenum cofactor biosynthesis"	"Multifunctional enzyme, Transferase"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 62.4"	"Group enriched"	"Detected in many"	4	"Astrocytes: 477.6;Excitatory neurons: 676.4;Inhibitory neurons: 846.3;Oligodendrocyte precursor cells: 551.6;Oligodendrocytes: 564.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Liver - Hepatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003116, CAB004419, HPA024694"	Enhanced		Approved	Vesicles,Cytosol		NA	NA		6900	"Cluster 16: MAIT-cells - Unknown function"	"Cluster 15: Liver - Metabolism"	"Cluster 46: Non-specific - Unknown function"	"Cluster 37: Neurons - Neuronal signaling"	Vesicles	Cytosol	"CAB004419: AB_627670, HPA003116: AB_1078963, HPA024694: AB_1849616"	"unprognostic (8.37e-2)"	"unprognostic (2.53e-2)"	"unprognostic (2.42e-1)"	"unprognostic (1.20e-1)"	"unprognostic (5.14e-2)"	"unprognostic (4.89e-3)"	"unprognostic (8.29e-2)"	"unprognostic (1.41e-2)"	"unprognostic (1.42e-1)"	"unprognostic (2.23e-1)"	"unprognostic (2.49e-2)"	"unprognostic (8.54e-2)"	"prognostic favorable (5.25e-12)"	"unprognostic (9.81e-2)"	"unprognostic (2.27e-1)"	"unprognostic (7.50e-2)"	"prognostic unfavorable (4.61e-5)"
GPI	"AMF, NLK"	ENSG00000105220	"Glucose-6-phosphate isomerase"	P06744	19	34359480-34402413	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Gluconeogenesis, Glycolysis"	"Cytokine, Growth factor, Isomerase"	"Cancer-related genes, Disease variant, Hereditary hemolytic anemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enriched"	"Detected in all"	4	"Late spermatids: 1163.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB018655, HPA024305, CAB040563, HPA052171, CAB080077, CAB080078, CAB080085"	Enhanced		Supported	"Plasma membrane,Cytosol"	"Secreted to blood"	NA	No		86000000	"Cluster 45: Eosinophils - Innate immune response"	"Cluster 8: Non-specific - Mitochondria"	"Cluster 10: Ovarian & Endometrial cancers - Unknown function"	"Cluster 51: Late spermatids - Spermatogenesis"	Cytosol	"Plasma membrane"	"CAB018655: AB_2112653, CAB040563: , CAB080077: , CAB080078: , CAB080085: , HPA024305: AB_1849922, HPA052171: AB_2681748"	"unprognostic (1.03e-1)"	"unprognostic (8.39e-3)"	"unprognostic (2.39e-2)"	"unprognostic (1.38e-2)"	"unprognostic (4.52e-2)"	"unprognostic (6.45e-3)"	"unprognostic (1.95e-2)"	"unprognostic (8.52e-3)"	"unprognostic (3.18e-1)"	"unprognostic (1.45e-1)"	"unprognostic (4.93e-2)"	"unprognostic (2.75e-1)"	"unprognostic (3.24e-3)"	"unprognostic (2.62e-2)"	"unprognostic (2.43e-1)"	"unprognostic (2.60e-3)"	"unprognostic (2.88e-2)"
