,SHAP_mean,Abundance_rank,Abundance_mean,Abundance_std,description,SHAP_rank,Group
Q15149,0.08822095837247716,11.0,0.6164850335186335,0.11799905929904556,Plectin ,49.0,HGSOC
P20962,0.08477421751292438,10.0,0.5839488278687711,0.07668448344826642,Parathymosin,50.0,HGSOC
Q10589,0.08294066580196358,11.0,0.5672140846919403,0.18446823164979248,Bone marrow stromal antigen 2 ,51.0,HGSOC
Q8NBS9,0.08243526595872605,4.0,0.47628961804338527,0.12064960656831485,Thioredoxin domain-containing protein 5 ,52.0,HGSOC
P48960,0.07461605965770765,6.0,0.42805834533488923,0.16179515235847317,Adhesion G protein-coupled receptor E5 ,53.0,HGSOC
Q14676,0.07159198674078979,11.0,0.5728640919726895,0.06600188821029326,Mediator of DNA damage checkpoint protein 1 ,54.0,HGSOC
Q9NR30,0.07027367212058716,14.0,0.8956409719246403,0.007537926211617175,Nucleolar RNA helicase 2 ,55.0,HGSOC
P07948,0.06412425553625525,6.0,0.27885745432951714,0.15385492561026426,Tyrosine-protein kinase Lyn ,56.0,HGSOC
Q14116,0.06289560631123699,10.0,0.5678591311509175,0.20005709357047866,Interleukin-18 ,57.0,HGSOC
Q9HC35,0.05728189558232673,4.0,0.20731277383239224,0.12550018892033948,Echinoderm microtubule-associated protein-like 4 ,58.0,HGSOC
P80723,0.05716778406523651,9.0,0.6588098842193715,0.059171657031121774,Brain acid soluble protein 1 ,59.0,HGSOC
Q9NZM1,0.05673986848895612,11.0,0.7146186908956468,0.08622011360914879,Myoferlin ,60.0,HGSOC
Q9UIQ6,0.05153785967891759,12.0,0.6778825515865856,0.11087590218931284,Leucyl-cystinyl aminopeptidase ,61.0,HGSOC
O00425,0.050298321155915114,11.0,0.7837832890992993,0.13797967354129376,Insulin-like growth factor 2 mRNA-binding protein 3 ,62.0,HGSOC
Q96CX2,0.05013924516585874,11.0,0.562693517863502,0.15623643943824508,BTB/POZ domain-containing protein KCTD12 ,63.0,HGSOC
P27105,0.04872558209079787,9.0,0.5660130043457365,0.1971402064395295,Stomatin ,64.0,HGSOC
Q92922,0.04771215616812453,10.0,0.4100990644497371,0.20965108937878463,SWI/SNF complex subunit SMARCC1 ,65.0,HGSOC
P17655,0.046562964315671085,10.0,0.6618905516837076,0.13104451963169944,Calpain-2 catalytic subunit ,66.0,HGSOC
P11498,0.04215508460070734,6.0,0.472757529317372,0.10410903476995187,"Pyruvate carboxylase, mitochondrial ",67.0,HGSOC
Q9BW60,0.03935288789284433,11.0,0.6738052742231351,0.109479867106354,Elongation of very long chain fatty acids protein 1 ,68.0,HGSOC
P18206,0.038434447320933623,11.0,0.8659389492254117,0.010911200270933388,Vinculin ,69.0,HGSOC
P19367,0.03497413250641983,8.0,0.7967240553863952,0.053233784287612974,Hexokinase-1 ,70.0,HGSOC
Q92616,0.033632927742696744,12.0,0.7044654172522739,0.08379784301632226,eIF-2-alpha kinase activator GCN1 ,71.0,HGSOC
P62877,0.0319426646407031,10.0,0.7189333091210536,0.08838849438719878,E3 ubiquitin-protein ligase RBX1 ,72.0,HGSOC
Q14151,0.0313221245018881,6.0,0.523821977677037,0.12144280448559353,Scaffold attachment factor B2 ,73.0,HGSOC
O43707,0.026481781870440688,5.0,0.4671622135082419,0.1202208280718622,Alpha-actinin-4 ,74.0,HGSOC
Q7Z2K8,0.025886661743861807,13.0,0.5309926887207467,0.1938041439843555,G protein-regulated inducer of neurite outgrowth 1 ,75.0,HGSOC
P16989,0.02408490962076358,4.0,0.6124060746625356,0.11057847774970749,Y-box-binding protein 3 ,76.0,HGSOC
P40121,0.022366061248993225,7.0,0.28049387573367646,0.1625679773601949,Macrophage-capping protein ,77.0,HGSOC
P19174,0.02055915049481581,8.0,0.44422844654218374,0.22245086325870517,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 ",78.0,HGSOC
P48681,0.020218898739255267,8.0,0.4700777040672486,0.3278182817581884,Nestin,79.0,HGSOC
O75828,0.019983836425903886,6.0,0.3679194219978165,0.1745931753465266,Carbonyl reductase [NADPH] 3 ,80.0,HGSOC
Q6WKZ4,0.01951015603724204,10.0,0.28531230062486956,0.17319313511203713,Rab11 family-interacting protein 1 ,81.0,HGSOC
Q08211,0.01724444936645184,14.0,0.7917922175535275,0.02361096318868389,ATP-dependent RNA helicase A ,82.0,HGSOC
Q15459,0.015218236955946556,8.0,0.7068282666755603,0.054152232133840524,Splicing factor 3A subunit 1 ,83.0,HGSOC
P26447,0.014980116289595882,10.0,0.48884117455069376,0.22459974585510095,Protein S100-A4 ,84.0,HGSOC
P78527,0.013908227807372907,14.0,0.8710122193850743,0.06411138530747755,DNA-dependent protein kinase catalytic subunit ,85.0,HGSOC
P29350,0.012934148667519393,9.0,0.45185353402982276,0.15785278768566433,Tyrosine-protein phosphatase non-receptor type 6 ,86.0,HGSOC
P05787,0.01190056663487838,8.0,0.5700646698865472,0.2013316575815713,"Keratin, type II cytoskeletal 8 ",87.0,HGSOC
Q9Y223,0.01186403441880013,4.0,0.34109888711070546,0.1285518697435755,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,88.0,HGSOC
P30038,0.009863620439049016,5.0,0.33857014033977084,0.13153269736458933,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",89.0,HGSOC
Q9Y5B9,0.009558685020890207,10.0,0.7937472646703008,0.0689289041849337,FACT complex subunit SPT16 ,90.0,HGSOC
P31947,0.00885040826172712,8.0,0.519858321588231,0.21594253375589237,14-3-3 protein sigma ,91.0,HGSOC
P16144,0.008702499057557805,9.0,0.3747245238471491,0.22605002590484763,Integrin beta-4 ,92.0,HGSOC
A0MZ66,0.008473200846103713,9.0,0.6186040552363421,0.26140791601360497,Shootin-1 ,93.0,HGSOC
P61978,0.008261660640638496,4.0,0.44832881126813556,0.06932700295298441,Heterogeneous nuclear ribonucleoprotein K ,94.0,HGSOC
P35580,0.0056184796675639095,7.0,0.6514132341391339,0.26608025458298207,Myosin-10 ,95.0,HGSOC
P00338,0.005114513195486822,5.0,0.7080568104625273,0.07951441752161738,L-lactate dehydrogenase A chain ,96.0,HGSOC
Q15393,0.004895703609598885,11.0,0.7238041149780414,0.014068762034256214,Splicing factor 3B subunit 3 ,97.0,HGSOC
P08670,0.004631227719593748,8.0,0.6092003014670826,0.19399565031977561,Vimentin,98.0,HGSOC
P50552,0.0036705283180969916,5.0,0.5031359615266378,0.23974687795336758,Vasodilator-stimulated phosphoprotein ,99.0,HGSOC
P26006,0.0035094194020686333,9.0,0.4338989263322024,0.26912196054361265,Integrin alpha-3 ,100.0,HGSOC
P21266,0.0024769165304368308,8.0,0.3591122579960724,0.12657336182198056,Glutathione S-transferase Mu 3 ,101.0,HGSOC
O00592,0.001432472021877012,8.0,0.44634170873539913,0.26347271160334224,Podocalyxin ,102.0,HGSOC
Q9NZN4,0.0006335086339211559,8.0,0.4590528014265283,0.3071027316361729,EH domain-containing protein 2 ,103.0,HGSOC
O60701,0.00014127317797394816,7.0,0.5565911904730882,0.14655470630419054,UDP-glucose 6-dehydrogenase ,104.0,HGSOC
P31146,-9.026776727384016e-05,5.0,0.2990268598505781,0.2103032169421152,Coronin-1A ,105.0,HGSOC
P09382,-0.00036786590241319776,8.0,0.6992410360858445,0.07650919946457242,Galectin-1 ,106.0,HGSOC
P14923,-0.0006469570064273537,7.0,0.5849543030459227,0.281867874189715,Junction plakoglobin ,107.0,HGSOC
P52594,-0.0008870118943637719,7.0,0.5426631086597956,0.13847038201784587,Arf-GAP domain and FG repeat-containing protein 1 ,108.0,HGSOC
Q07065,-0.0014756883430136955,10.0,0.8848000960488048,0.03378081342994292,Cytoskeleton-associated protein 4 ,109.0,HGSOC
P12814,-0.0021681996726376045,7.0,0.42052938453039634,0.14063075936978786,Alpha-actinin-1 ,110.0,HGSOC
P29373,-0.002613219330077598,8.0,0.47753612961133907,0.27276759362661024,Cellular retinoic acid-binding protein 2 ,111.0,HGSOC
P11047,-0.0030698890435224154,9.0,0.6322464054031306,0.1546682717936329,Laminin subunit gamma-1 ,112.0,HGSOC
Q9UKN8,-0.0033433876725569643,10.0,0.5440714836849649,0.08887396368759153,General transcription factor 3C polypeptide 4 ,113.0,HGSOC
P11766,-0.005450819490684027,4.0,0.5264188900943219,0.07149156001875716,Alcohol dehydrogenase class-3 ,114.0,HGSOC
Q16352,-0.005943353812352555,14.0,0.5662675070893827,0.18998084856745773,Alpha-internexin ,115.0,HGSOC
P20700,-0.0071265336450083904,9.0,0.5810908946509548,0.08163929612157851,Lamin-B1,116.0,HGSOC
Q14764,-0.007905695714308547,5.0,0.5679198077053014,0.2614822046270965,Major vault protein ,117.0,HGSOC
Q8TEM1,-0.008116458504277144,11.0,0.5518264071861277,0.17951698479448178,Nuclear pore membrane glycoprotein 210 ,118.0,HGSOC
P26038,-0.008147059141665788,13.0,0.9093362681651376,0.03451418360185517,Moesin ,119.0,HGSOC
P16401,-0.008986871869198396,7.0,0.6393428093700924,0.3198773841641618,Histone H1.5 ,120.0,HGSOC
P46821,-0.00949953431408945,9.0,0.5173546453566509,0.23915931961542658,Microtubule-associated protein 1B ,121.0,HGSOC
P48735,-0.00974524315417597,4.0,0.5931765447868966,0.12025472376446363,"Isocitrate dehydrogenase [NADP], mitochondrial ",122.0,HGSOC
Q8WUF5,-0.010015660354872396,10.0,0.4112201909150045,0.25080739417023906,RelA-associated inhibitor ,123.0,HGSOC
P46013,-0.011280805959351967,8.0,0.5535735384791178,0.13085652699572192,Proliferation marker protein Ki-67 ,124.0,HGSOC
Q16762,-0.011882631937884991,3.0,0.2516696514346016,0.11239285405447705,Thiosulfate sulfurtransferase ,125.0,HGSOC
Q9UGI8,-0.012159247352811266,7.0,0.5451863717859093,0.21407491499302997,Testin ,126.0,HGSOC
P12270,-0.012315987243053845,8.0,0.6513060663506463,0.09647630806324574,Nucleoprotein TPR ,127.0,HGSOC
Q9Y5Z4,-0.012334124848026167,8.0,0.6418004894566511,0.11273696057508518,Heme-binding protein 2 ,128.0,HGSOC
P23246,-0.013860535928379438,6.0,0.6358787627688731,0.04278064146721533,"Splicing factor, proline- and glutamine-rich ",129.0,HGSOC
Q9Y446,-0.013980288511485781,8.0,0.4604657396414421,0.2998396950030419,Plakophilin-3,130.0,HGSOC
P11388,-0.014280556953188167,8.0,0.6346993699185419,0.04724137399254501,DNA topoisomerase 2-alpha ,131.0,HGSOC
Q14126,-0.014464837831534042,8.0,0.5201462874167762,0.2369417279470316,Desmoglein-2 ,132.0,HGSOC
Q9UQE7,-0.017167742866187597,10.0,0.7904550674589855,0.03946389071912033,Structural maintenance of chromosomes protein 3 ,133.0,HGSOC
Q9Y5Q9,-0.017913254494069393,8.0,0.3291223826233438,0.18867542935673118,General transcription factor 3C polypeptide 3 ,134.0,HGSOC
Q14247,-0.019177921046870796,11.0,0.7762396680746763,0.0803382802594036,Src substrate cortactin ,135.0,HGSOC
Q96TA1,-0.0192753945589432,9.0,0.7211353701463001,0.1925865431859545,Protein Niban 2 ,136.0,HGSOC
Q8IVT2,-0.022908709506062795,9.0,0.5131491543799265,0.27825331794418107,Mitotic interactor and substrate of PLK1 ,137.0,HGSOC
Q9NU22,-0.026853992939802104,4.0,0.25996990335303777,0.09230009839379097,Midasin ,138.0,HGSOC
Q16658,-0.030888830923330796,7.0,0.7533021694842246,0.14385798972515398,Fascin ,139.0,HGSOC
P15924,-0.031644654741191526,9.0,0.643974272543469,0.24166562986220988,Desmoplakin ,140.0,HGSOC
O60264,-0.034030460168131854,11.0,0.7861193326031028,0.0738337942651356,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ,141.0,HGSOC
Q02952,-0.035986176169265395,9.0,0.5945609940139176,0.22053429863899893,A-kinase anchor protein 12 ,142.0,HGSOC
P17301,-0.038150874875179014,6.0,0.27919641098028536,0.1795907675676015,Integrin alpha-2 ,143.0,HGSOC
Q15029,-0.03998578679984448,7.0,0.5759777347587911,0.03596758000514425,116 kDa U5 small nuclear ribonucleoprotein component ,144.0,HGSOC
Q9UIG0,-0.040722830319222594,12.0,0.6513209790383325,0.07925774784149273,Tyrosine-protein kinase BAZ1B ,145.0,HGSOC
O75475,-0.04112159437686629,10.0,0.6893839697682962,0.0789082757704601,PC4 and SFRS1-interacting protein ,146.0,HGSOC
Q9Y490,-0.042056731389464724,10.0,0.8113702292321894,0.08551324041032593,Talin-1,147.0,HGSOC
Q9UDT6,-0.04363696405981398,9.0,0.39697131828875226,0.2751883041544418,CAP-Gly domain-containing linker protein 2 ,148.0,HGSOC
Q9UKK3,-0.04677207506195259,9.0,0.4302614321219414,0.24226300052609565,Protein mono-ADP-ribosyltransferase PARP4 ,149.0,HGSOC
Q8IVF2,-0.05033798594266203,10.0,0.5060310153203357,0.20260236844793955,Protein AHNAK2,150.0,HGSOC
Q9UJC3,-0.05212374003979063,10.0,0.5961880274695076,0.20027725875518024,Protein Hook homolog 1 ,151.0,HGSOC
O75533,-0.0526500305612864,11.0,0.7766997953453493,0.02626411557513741,Splicing factor 3B subunit 1 ,152.0,HGSOC
P05091,-0.05399053823982916,6.0,0.44987036304686256,0.15659376880219045,"Aldehyde dehydrogenase, mitochondrial ",153.0,HGSOC
Q8NI08,-0.055266252909199655,5.0,0.24363611922862644,0.14164592837943524,Nuclear receptor coactivator 7 ,154.0,HGSOC
P04083,-0.05617069280703048,11.0,0.7758788365796288,0.037221152112170905,Annexin A1 ,155.0,HGSOC
Q8IWE2,-0.057766147549597316,10.0,0.5528951528388869,0.2035926032061853,Protein NOXP20 ,156.0,HGSOC
Q8N392,-0.05803963847949577,7.0,0.4406030568404019,0.17723785112076262,Rho GTPase-activating protein 18 ,157.0,HGSOC
Q9NS86,-0.08000048390447621,4.0,0.30537068401219636,0.1490094966698148,LanC-like protein 2 ,158.0,HGSOC
Q9UHR4,-0.0854711682031034,10.0,0.568976678609179,0.31750048960380084,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 ,159.0,HGSOC
Q01970,-0.16806250253048907,6.0,0.46609570691071983,0.16080687881600902,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 ",160.0,HGSOC
Q9Y5V3,-0.2291438527994951,13.0,0.6017305156999827,0.1072719452593106,Melanoma-associated antigen D1 ,161.0,HGSOC
P43121,0.7327262667610055,15.0,0.9242776077941487,0.021861042113474623,Cell surface glycoprotein MUC18 ,1.0,HUVEC
Q96CX2,0.5836028732773686,15.0,0.9543784944621118,0.026742583064437234,BTB/POZ domain-containing protein KCTD12 ,2.0,HUVEC
Q9NZN4,0.5211772696657307,15.0,0.974422466849244,0.02250106101197225,EH domain-containing protein 2 ,3.0,HUVEC
P12270,0.5057455850580812,1.0,0.09833234634548704,0.07940924997606331,Nucleoprotein TPR ,4.0,HUVEC
Q53EP0,0.48832087590026535,15.0,0.7319979501187814,0.04945178759454563,Fibronectin type III domain-containing protein 3B ,5.0,HUVEC
Q8NBS9,0.4705710446097301,15.0,0.9697735022635914,0.02215290499317951,Thioredoxin domain-containing protein 5 ,6.0,HUVEC
O75533,0.451649639301315,1.0,0.17944817618434844,0.22843112818697836,Splicing factor 3B subunit 1 ,7.0,HUVEC
Q15555,0.4362548532126339,13.0,0.8110897534953818,0.046701949566112476,Microtubule-associated protein RP/EB family member 2 ,8.0,HUVEC
Q8N392,0.4360271049569854,15.0,0.8829018420609502,0.053094651651528595,Rho GTPase-activating protein 18 ,9.0,HUVEC
Q08380,0.42050283709426006,2.0,0.20324461417205786,0.030619246656524185,Galectin-3-binding protein ,10.0,HUVEC
P48960,0.41645243501154783,2.0,0.177719317185157,0.05938047838369203,Adhesion G protein-coupled receptor E5 ,11.0,HUVEC
P78527,0.40887922754951356,1.0,0.3609522815465215,0.22241900747726367,DNA-dependent protein kinase catalytic subunit ,12.0,HUVEC
Q15029,0.38758736924123705,1.0,0.12233924923336517,0.13561260733730596,116 kDa U5 small nuclear ribonucleoprotein component ,13.0,HUVEC
P08648,0.38059438700505704,15.0,0.9383052473544655,0.05391478021231727,Integrin alpha-5 ,14.0,HUVEC
Q15459,0.3347099991030154,1.0,0.20736254685582453,0.09868664988109399,Splicing factor 3A subunit 1 ,15.0,HUVEC
P27105,0.2922601859482275,15.0,0.8128109885033158,0.07203964719296306,Stomatin ,16.0,HUVEC
P23246,0.2605752560568241,2.0,0.2652785367190308,0.039629934753296875,"Splicing factor, proline- and glutamine-rich ",17.0,HUVEC
Q6NZI2,0.25895383236986097,15.0,0.9656604162811331,0.017495689561953923,Caveolae-associated protein 1 ,18.0,HUVEC
Q9UQE7,0.2490364983021208,1.0,0.3244550947595225,0.17519237325475898,Structural maintenance of chromosomes protein 3 ,19.0,HUVEC
P46013,0.2359946450847014,1.0,0.1614764645442312,0.08466241863286188,Proliferation marker protein Ki-67 ,20.0,HUVEC
Q9NR30,0.2313033220553004,1.0,0.3399271973339465,0.1637125975681888,Nucleolar RNA helicase 2 ,21.0,HUVEC
P11388,0.22910863714363616,1.0,0.16049444526472428,0.06116042322888182,DNA topoisomerase 2-alpha ,22.0,HUVEC
P11766,0.22887967228934963,2.0,0.3516078554356351,0.08842387870265143,Alcohol dehydrogenase class-3 ,23.0,HUVEC
O43719,0.2154929086797681,1.0,0.17408526921607742,0.0669951137320725,HIV Tat-specific factor 1 ,24.0,HUVEC
Q15393,0.21072860965786838,2.0,0.3677254204053774,0.1476488842970317,Splicing factor 3B subunit 3 ,25.0,HUVEC
Q8IVF2,0.21015474251729804,14.0,0.7484234701313859,0.0789149725213127,Protein AHNAK2,26.0,HUVEC
P51452,0.20348481241849736,14.0,0.7678094506357446,0.11676206721680887,Dual specificity protein phosphatase 3 ,27.0,HUVEC
Q7L5N7,0.19697848034677318,12.0,0.5685744809856768,0.2955042358440254,Lysophosphatidylcholine acyltransferase 2 ,28.0,HUVEC
P21980,0.19368940760043427,15.0,0.906750350859669,0.00972466129350903,Protein-glutamine gamma-glutamyltransferase 2 ,29.0,HUVEC
P20962,0.19345737139279304,4.0,0.26511455023936853,0.03299636214306586,Parathymosin,30.0,HUVEC
Q99943,0.1829827601664899,2.0,0.18043726533267587,0.07046066296722886,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha ,31.0,HUVEC
Q02952,0.18289768125578656,14.0,0.7861032799068737,0.10088774942541694,A-kinase anchor protein 12 ,32.0,HUVEC
Q8IYS1,0.18126379204483709,1.0,0.13624596179988052,0.037537761306276694,Peptidase M20 domain-containing protein 2 ,33.0,HUVEC
P48681,0.1792498921065648,12.0,0.6800306990731146,0.07069035266559003,Nestin,34.0,HUVEC
Q8TEM1,0.17154338185837098,1.0,0.11890799080631229,0.06590147151166542,Nuclear pore membrane glycoprotein 210 ,35.0,HUVEC
P46821,0.16789439659622546,13.0,0.7952384390580974,0.06000274660168567,Microtubule-associated protein 1B ,36.0,HUVEC
O00592,0.16713173203702816,11.0,0.6736263233531117,0.08675160716193434,Podocalyxin ,37.0,HUVEC
O75475,0.16415862301525885,1.0,0.2701214512932936,0.0715733570213172,PC4 and SFRS1-interacting protein ,38.0,HUVEC
Q9Y5B9,0.16189208853408274,2.0,0.442041275188919,0.026176195977434657,FACT complex subunit SPT16 ,39.0,HUVEC
Q14315,0.15710615553595236,15.0,0.853855030334693,0.030494143793342084,Filamin-C ,40.0,HUVEC
Q92922,0.15298703614376494,1.0,0.20783504151428697,0.06151005284620134,SWI/SNF complex subunit SMARCC1 ,41.0,HUVEC
P20700,0.1512345788270403,3.0,0.18938501368339536,0.04661195868002466,Lamin-B1,42.0,HUVEC
P40121,0.1494406508792202,1.0,0.10494745364664149,0.06075645004507142,Macrophage-capping protein ,43.0,HUVEC
Q14676,0.1467894881352475,1.0,0.09880236183563129,0.03454178380384,Mediator of DNA damage checkpoint protein 1 ,44.0,HUVEC
Q8IWE2,0.14670949674698633,15.0,0.8706804473067749,0.027796375536873467,Protein NOXP20 ,45.0,HUVEC
Q9NUQ3,0.1448688274224296,1.0,0.25761020782134914,0.07842344622315306,Gamma-taxilin ,46.0,HUVEC
Q9Y446,0.14401052597796762,5.0,0.3239400889610572,0.04356513776242976,Plakophilin-3,47.0,HUVEC
Q9UKN8,0.14262864226257738,4.0,0.17847055295049205,0.06028344851255934,General transcription factor 3C polypeptide 4 ,48.0,HUVEC
P32004,0.1422957485260545,4.0,0.18356043042917172,0.06110258631655604,Neural cell adhesion molecule L1 ,49.0,HUVEC
P29373,0.13958544369974324,4.0,0.28121488290639735,0.03570764571496791,Cellular retinoic acid-binding protein 2 ,50.0,HUVEC
Q6WKZ4,0.13956268076352663,3.0,0.1519549575655507,0.027819859704081084,Rab11 family-interacting protein 1 ,51.0,HUVEC
Q9UKK3,0.1346630092230364,15.0,0.7748797517245636,0.05884023148231733,Protein mono-ADP-ribosyltransferase PARP4 ,52.0,HUVEC
Q14151,0.1305748566218678,3.0,0.20823346191286748,0.07197425020210801,Scaffold attachment factor B2 ,53.0,HUVEC
P26447,0.1295287001906765,2.0,0.17520006682609157,0.03895867323974641,Protein S100-A4 ,54.0,HUVEC
Q9UIG0,0.12790120055068926,2.0,0.16348461537468947,0.04816994437367326,Tyrosine-protein kinase BAZ1B ,55.0,HUVEC
Q14126,0.12705486359187948,1.0,0.20784591253691467,0.061367900687016225,Desmoglein-2 ,56.0,HUVEC
O00754,0.12379490537128235,14.0,0.6520694798088295,0.03529371764454743,Lysosomal alpha-mannosidase ,57.0,HUVEC
Q9NU22,0.1237854257846179,2.0,0.1112250338481191,0.024465742956530784,Midasin ,58.0,HUVEC
Q9BZQ8,0.12315813397294613,6.0,0.46350273514506,0.27969297378950636,Protein Niban 1 ,59.0,HUVEC
P29218,0.12304190950449119,2.0,0.24425454734150684,0.16487954051315112,Inositol monophosphatase 1 ,60.0,HUVEC
Q08J23,0.12165611668208305,3.0,0.4255385409725424,0.12876226326402304,RNA cytosine C,61.0,HUVEC
P05787,0.12073343501915042,2.0,0.3313333571316813,0.04338005919575111,"Keratin, type II cytoskeletal 8 ",62.0,HUVEC
Q9UJC3,0.11948224888391087,5.0,0.3394489449711102,0.13072348423669247,Protein Hook homolog 1 ,63.0,HUVEC
P35580,0.11942877840706574,11.0,0.8464100523069366,0.04984303564617285,Myosin-10 ,64.0,HUVEC
Q9BST9,0.11693653899873886,2.0,0.11975001297160252,0.035109929429977274,Rhotekin,65.0,HUVEC
Q13151,0.11437440912795023,2.0,0.24600373757026137,0.17757562213881156,Heterogeneous nuclear ribonucleoprotein A0 ,66.0,HUVEC
P31947,0.10408194701847044,5.0,0.3296444323663109,0.04789144663597186,14-3-3 protein sigma ,67.0,HUVEC
O75828,0.10376172803006437,15.0,0.8225005589294045,0.10231607085401404,Carbonyl reductase [NADPH] 3 ,68.0,HUVEC
P31146,0.1022346783794982,1.0,0.15530172983790275,0.0316672427530755,Coronin-1A ,69.0,HUVEC
Q9Y5Q9,0.09628779709633142,4.0,0.2263949660528624,0.04898823925709661,General transcription factor 3C polypeptide 3 ,70.0,HUVEC
Q16762,0.09161084816400974,13.0,0.6370543742674337,0.016316364816355407,Thiosulfate sulfurtransferase ,71.0,HUVEC
O60264,0.08624346151201438,2.0,0.31475082201633764,0.08946122300581265,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ,72.0,HUVEC
P05783,0.08330232544805553,3.0,0.24779197466007172,0.05566241037600248,"Keratin, type I cytoskeletal 18 ",73.0,HUVEC
Q92616,0.08034020313017073,3.0,0.39380562672797936,0.20857290697864891,eIF-2-alpha kinase activator GCN1 ,74.0,HUVEC
Q9BW60,0.08003282040674838,5.0,0.4185310283840614,0.14725993426361597,Elongation of very long chain fatty acids protein 1 ,75.0,HUVEC
Q99959,0.0749066135892384,2.0,0.1752129385964726,0.061530671723362226,Plakophilin-2,76.0,HUVEC
Q9UHR4,0.07451943530011693,2.0,0.22093108218888977,0.01514875574476793,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 ,77.0,HUVEC
P14923,0.07413926623439564,14.0,0.7603218110850495,0.1269034697993367,Junction plakoglobin ,78.0,HUVEC
P17301,0.07004822807539124,14.0,0.77785496029609,0.06682242967036192,Integrin alpha-2 ,79.0,HUVEC
Q9HC35,0.06841493866495099,3.0,0.17864044402561005,0.16420226200160146,Echinoderm microtubule-associated protein-like 4 ,80.0,HUVEC
Q8WUF5,0.05695976411067174,14.0,0.6420067812192304,0.026614758550331033,RelA-associated inhibitor ,81.0,HUVEC
P11047,0.055719133549727975,12.0,0.7445444681314506,0.09367258596334528,Laminin subunit gamma-1 ,82.0,HUVEC
P16403,0.054481093140594725,3.0,0.32620822849902664,0.14565452609632207,Histone H1.2 ,83.0,HUVEC
Q9Y5Z4,0.05161244415100084,13.0,0.8103646982264451,0.05928478050021636,Heme-binding protein 2 ,84.0,HUVEC
Q9BWF3,0.05008652362530338,13.0,0.6039980134815583,0.07241424349094078,RNA-binding protein 4 ,85.0,HUVEC
P29350,0.045970969291288,4.0,0.30070387073457955,0.16864760009114127,Tyrosine-protein phosphatase non-receptor type 6 ,86.0,HUVEC
P49720,0.040513714249864045,13.0,0.7254400432872524,0.20298961756657463,Proteasome subunit beta type-3 ,87.0,HUVEC
Q8IVT2,0.04014397250024297,3.0,0.23788590349981958,0.03913040763624698,Mitotic interactor and substrate of PLK1 ,88.0,HUVEC
P26038,0.040086575832147565,14.0,0.919723648657022,0.02982294877900337,Moesin ,89.0,HUVEC
Q96RS6,0.03867276491857795,14.0,0.831119353088968,0.07471240841290949,NudC domain-containing protein 1 ,90.0,HUVEC
Q8NI08,0.038478261100163676,13.0,0.4962039162628269,0.29087280901745494,Nuclear receptor coactivator 7 ,91.0,HUVEC
P16989,0.03832150815929221,12.0,0.7962205776604548,0.07637978456907056,Y-box-binding protein 3 ,92.0,HUVEC
Q9NZM1,0.03822789507156407,14.0,0.8147828966042816,0.029659725322564535,Myoferlin ,93.0,HUVEC
O75976,0.03796812717348016,12.0,0.5761530915932913,0.07350292362789716,Carboxypeptidase D ,94.0,HUVEC
Q9UIQ6,0.036239877294798065,14.0,0.720730754476964,0.08938157206974032,Leucyl-cystinyl aminopeptidase ,95.0,HUVEC
Q01970,0.036002187903194385,13.0,0.7719690650700811,0.09676725031602386,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 ",96.0,HUVEC
P62805,0.035718776461525985,4.0,0.5579961936880652,0.05138970782625151,Histone H4,97.0,HUVEC
P19174,0.035615670503549364,13.0,0.7290139544059244,0.08877840361019257,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 ",98.0,HUVEC
Q9NTX5,0.032136690470416764,13.0,0.6809726502582245,0.14545203518674793,Ethylmalonyl-CoA decarboxylase ,99.0,HUVEC
Q3KQU3,0.02938422222961277,13.0,0.824324815194174,0.04820158213445032,MAP7 domain-containing protein 1 ,100.0,HUVEC
P30038,0.028989309044496946,7.0,0.46755004945832945,0.08728264472332095,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",101.0,HUVEC
Q7Z2K8,0.0260372437877986,7.0,0.34776867764858405,0.2056847624663903,G protein-regulated inducer of neurite outgrowth 1 ,102.0,HUVEC
Q12965,0.0258269796927972,13.0,0.6634814311618963,0.05679166851323644,Unconventional myosin-Ie ,103.0,HUVEC
Q14116,0.02557048059595911,7.0,0.3719578127452043,0.1579897857049012,Interleukin-18 ,104.0,HUVEC
Q9Y490,0.02395577287385278,14.0,0.8912437295281549,0.010255603941097697,Talin-1,105.0,HUVEC
Q14764,0.020779014806011818,15.0,0.9211916360647704,0.016801438146965976,Major vault protein ,106.0,HUVEC
P16401,0.018749507277846845,4.0,0.5162887454953121,0.2378808091080317,Histone H1.5 ,107.0,HUVEC
